Date;Start;End;Willingness
2020-06;5-6-2020;8-6-2020;73
2020-07;24-7-2020;27-7-2020;71
2020-08;28-8-2020;29-8-2020;70
2020-09;3-9-2020;8-9-2020;65
2020-11;13-11-2020;16-11-2020;59
